iter	Passed	Remaining
814	94208	21384
815	94309	21265
816	94411	21147
817	94530	21032
818	94652	20918
819	94746	20797
820	94846	20679
821	94958	20562
822	95044	20440
823	95139	20321
824	95249	20204
825	95346	20085
826	95445	19966
827	95571	19853
828	95696	19739
829	95789	19619
830	95921	19507
831	96025	19389
832	96139	19274
833	96260	19159
834	96360	19041
835	96488	18928
836	96602	18812
837	96712	18696
838	96813	18578
839	96916	18460
840	97016	18341
841	97121	18224
842	97236	18109
843	97333	17990
844	97431	17871
845	97518	17751
846	97625	17634
847	97736	17518
848	97829	17399
849	97916	17279
850	98010	17160
851	98112	17042
852	98219	16926
853	98319	16808
854	98414	16690
855	98522	16573
856	98650	16460
857	98751	16343
858	98867	16228
859	98962	16110
860	99069	15993
861	99178	15877
862	99271	15759
863	99390	15644
864	99516	15531
865	99702	15427
866	99818	15312
867	99936	15197
868	100035	15080
869	100149	14964
870	100261	14849
871	100392	14736
872	100519	14623
873	100626	14506
874	100737	14391
875	100838	14273
876	100923	14154
877	101035	14039
878	101150	13923
879	101246	13806
880	101398	13696
881	101501	13579
882	101635	13467
883	101754	13352
884	101858	13235
885	101969	13120
886	102080	13004
887	102168	12886
888	102269	12769
889	102373	12652
890	102478	12536
891	102598	12422
892	102706	12306
893	102798	12188
894	102899	12072
895	102987	11953
896	103066	11834
897	103158	11717
898	103255	11600
899	103354	11483
900	103439	11365
901	103540	11249
902	103642	11133
903	103730	11015
904	103834	10899
905	103922	10782
906	104024	10666
907	104117	10549
908	104211	10432
909	104296	10315
910	104395	10198
911	104508	10084
912	104599	9967
913	104689	9850
914	104799	9735
915	104898	9619
916	105008	9504
917	105103	9388
918	105189	9271
919	105290	9155
920	105380	9039
921	105472	8922
922	105570	8807
923	105676	8692
924	105762	8575
925	105865	8460
926	105969	8344
927	106068	8229
928	106150	8112
929	106249	7997
930	106340	7881
931	106443	7766
932	106543	7651
933	106636	7535
934	106735	7420
935	106851	7306
936	106949	7190
937	107038	7075
938	107135	6959
939	107235	6844
940	107335	6729
941	107440	6615
942	107544	6500
943	107663	6386
944	107757	6271
945	107857	6156
946	107964	6042
947	108067	5927
948	108170	5813
949	108280	5698
950	108385	5584
951	108477	5469
952	108580	5354
953	108687	5240
954	108781	5125
955	108884	5011
956	108997	4897
957	109093	4782
958	109182	4667
959	109288	4553
960	109390	4439
961	109507	4325
962	109766	4217
963	109921	4104
964	110156	3995
965	110292	3881
966	110401	3767
967	110496	3652
968	110594	3538
969	110700	3423
970	110797	3309
971	110929	3195
972	111029	3080
973	111128	2966
974	111250	2852
975	111353	2738
976	111483	2624
977	111603	2510
978	111712	2396
979	111829	2282
980	111934	2167
981	112038	2053
982	112164	1939
983	112262	1825
984	112361	1711
985	112463	1596
986	112584	1482
987	112697	1368
988	112792	1254
989	112901	1140
990	113015	1026
991	113147	912
992	113264	798
993	113366	684
994	113462	570
995	113568	456
996	113681	342
997	113773	228
998	113881	113
999	113975	0
